feature,A_H2O,A_CN,B_H2O,B_CN,C_H2O,C_CN,D_H2O,D_CN,E_H2O,E_CN,F_H2O,F_CN,G_H2O,G_CN
X141,3897,74831,0,0,0,0,0,0,0,0,1415,1357,0,92635
X144,4838541,11203257,1445,2815,0,1293,0,1103,0,0,5706381,1559,951,12112789
X152,0,1497,0,0,0,0,0,0,0,0,0,0,0,1677
X154,3600,1765,0,0,0,0,0,0,0,0,1211,1004,0,1800
X155,0,0,0,0,0,0,0,0,0,6093,0,1784,0,0
X160,0,4849,0,0,0,0,0,0,0,0,0,0,0,5733
X166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X188,0,2923,0,0,0,0,0,0,0,0,0,0,0,3123
X196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X297,1108,1497,0,0,0,0,0,0,0,0,0,0,0,0
X304,12933,37550,0,0,0,0,0,0,0,0,6136,0,0,28805
X312,4988,7000402,1008,13281,0,2962,0,2692,0,2062,10355,0,0,7835417
